basin,campaign,site_id,station_id,sensor_type,latitude,longitude,instrument,time_install,time_uninstall,depth_install,depth_uninstall,sensor_to_rodtop,bed_to_rodtop,bed_to_sensor,notes
Atchafalaya,Spring 2021,Mike Island,ME_channel,air pressure,29.49336397,-91.44019604,Onset HOBO U20L,2021-03-26 13:00:00,2021-04-02 10:06:00,-9999,-9999,-9999,-9999,-9999,"Hanging from tripod to record air pressure."
Atchafalaya,Spring 2021,Mike Island,ME_channel,turbidity,29.49336397,-91.44019604,Campbell Scientific OBS-3+,2021-03-24 12:18:00,2021-04-02 10:06:00,62,43,69,91,22,"uninstall time estimated from water level sensor data"
Atchafalaya,Spring 2021,Mike Island,ME_interior,turbidity,29.49342901,-91.44261497,Campbell Scientific OBS-3+,2021-03-26 10:00:00,2021-04-02 13:59:00,41,77,41,59,18,""
Atchafalaya,Spring 2021,Mike Island,MW_channel,turbidity,29.510339,-91.444978,Campbell Scientific OBS-3+,2021-03-24 11:08:00,2021-04-02 12:03:00,63,51.5,81.5,98,16.5,"uninstall time estimated from water level sensor data"
Atchafalaya,Spring 2021,Mike Island,MW_interior,turbidity,29.50641098,-91.44316901,Campbell Scientific OBS-3+,2021-03-26 15:26:00,2021-04-02 13:25:00,73,65,19.5,47.5,28,"initially installed at around 10:45 am but moved to a different location later because battery case was drowning"
Atchafalaya,Spring 2021,Mike Island,SC,turbidity,29.50906503,-91.44060398,Campbell Scientific OBS-3+,2021-03-26 11:58:00,2021-04-02 12:58:00,33,72,55.3,94,38.7,"found a lot of vegetation trapped around sensors after pulling them up so might have interfered with measurements"
Atchafalaya,Spring 2021,Mike Island,ME_channel,water pressure,29.49336397,-91.44019604,Solinst Levelogger Junior Edge Model 3001,2021-03-24 12:18:00,2021-04-02 10:06:00,62,43,67,91,24,"uninstall time estimated from water level sensor data"
Atchafalaya,Spring 2021,Mike Island,ME_interior,water pressure,29.49342901,-91.44261497,Solinst Levelogger Junior Edge Model 3001,2021-03-26 10:00:00,2021-04-02 13:59:00,41,77,39,59,20,""
Atchafalaya,Spring 2021,Mike Island,MW_channel,water pressure,29.510339,-91.444978,Solinst Levelogger Junior Edge Model 3001,2021-03-24 11:08:00,2021-04-02 12:03:00,63,51.5,80.5,98,17.5,"uninstall time estimated from water level sensor data"
Atchafalaya,Spring 2021,Mike Island,MW_interior,water pressure,29.50641098,-91.44316901,Solinst Levelogger Junior Edge Model 3001,2021-03-26 15:26:00,2021-04-02 13:25:00,73,65,28.2,47.5,19.3,"initially installed at around 10:45 am but moved to a different location later because battery case was drowning"
Atchafalaya,Spring 2021,Mike Island,SC,water pressure,29.50906503,-91.44060398,Onset HOBO U20L,2021-03-26 11:58:00,2021-04-02 12:58:00,33,72,64.3,94,29.7,"hobo pressure sensor"
